flightid,originairportid,destairportid,carrier,dayofmonth,dayofweek,departuredelay,arrivaldelay
25964,12478,10140,B6,25,4,-2,35
26024,12478,13930,B6,25,4,0,0
26025,12478,13930,B6,25,4,87,104
26172,13930,12478,B6,25,4,-5,-16
26173,13930,12478,B6,25,4,100,72
26297,10140,12478,B6,26,5,0,-22
70571,13930,12478,9E,1,1,-3,-20
70572,13930,12478,9E,2,2,-2,-8
70573,13930,12478,9E,3,3,-5,-21
70574,13930,12478,9E,4,4,-7,-25
70575,13930,12478,9E,5,5,-5,-17
70576,13930,12478,9E,6,6,-8,-6
70577,13930,12478,9E,7,7,-1,-12
70578,13930,12478,9E,8,1,0,-16
70579,13930,12478,9E,9,2,-6,-29
70580,13930,12478,9E,10,3,0,0
70581,13930,12478,9E,11,4,1,2
70582,13930,12478,9E,12,5,50,41
70583,13930,12478,9E,13,6,-1,-21
70584,13930,12478,9E,14,7,-6,-27
70585,13930,12478,9E,15,1,-2,-23
70586,13930,12478,9E,16,2,-4,-15
70587,13930,12478,9E,17,3,0,0
70588,13930,12478,9E,18,4,0,0
70589,13930,12478,9E,19,5,-4,-2
70590,13930,12478,9E,20,6,-3,-23
70591,13930,12478,9E,21,7,-1,-5
70592,13930,12478,9E,22,1,86,114
70593,13930,12478,9E,23,2,24,33
70594,13930,12478,9E,24,3,30,103
70595,13930,12478,9E,25,4,11,12
70596,13930,12478,9E,26,5,-11,5
70597,13930,12478,9E,27,6,0,-11
70598,13930,12478,9E,28,7,-7,-5
70599,13930,12478,9E,29,1,-3,-6
70600,13930,12478,9E,30,2,-4,-7
76041,13930,12478,9E,1,1,0,17
76042,13930,12478,9E,2,2,-3,-28
76043,13930,12478,9E,3,3,-7,-14
76044,13930,12478,9E,4,4,-7,-4
76045,13930,12478,9E,5,5,-4,8
76046,13930,12478,9E,6,6,-5,-1
76047,13930,12478,9E,7,7,-6,6
76048,13930,12478,9E,8,1,23,14
76049,13930,12478,9E,9,2,27,13
76050,13930,12478,9E,10,3,0,0
76051,13930,12478,9E,11,4,-1,21
76052,13930,12478,9E,12,5,54,36
76053,13930,12478,9E,13,6,-7,5
76054,13930,12478,9E,14,7,-2,16
76055,13930,12478,9E,15,1,-5,-23
76056,13930,12478,9E,16,2,-6,-13
76057,13930,12478,9E,17,3,437,442
76058,13930,12478,9E,18,4,0,0
76059,13930,12478,9E,19,5,92,112
76060,13930,12478,9E,20,6,13,-9
76061,13930,12478,9E,21,7,-7,-20
76062,13930,12478,9E,22,1,119,160
